#{"t_start": 1784614262.4144373, "env_id": "None"}
r,l,t
833.071507,300,8719.594291
672.238783,300,8719.890047
623.645352,300,8720.325351
600.856999,300,8720.612715
833.156873,300,8721.027761
672.216429,300,8721.663122
623.725554,300,8722.23877
600.819147,300,8722.940077
833.161672,300,8723.57241
672.232038,300,8724.477713
623.673041,300,8725.110957
600.700712,300,8725.799973
832.971784,300,8726.433504
672.207912,300,8726.735037
623.860412,300,8727.021279
600.699566,300,8727.509008
833.159379,300,8728.061149
672.226516,300,8728.36086
623.59421,300,8728.638618
600.676148,300,8728.926664
833.042451,300,8729.229397
672.219989,300,8729.775238
623.632101,300,8730.60675
600.675385,300,8736.42337
833.062246,300,8736.868252
672.19171,300,8737.458581
623.915254,300,8738.001087
600.887482,300,8738.519375
833.052667,300,8739.301487
672.239986,300,8739.794988
623.82853,300,8740.383083
600.675766,300,8741.195689
833.09612,300,8741.489214
672.21206,300,8742.270261
623.670712,300,8743.082442
600.676148,300,8743.709225
833.161588,300,8744.348009
672.215791,300,8745.009639
623.564559,300,8745.303528
600.827764,300,8748.539306
833.052667,300,8749.141432
672.233577,300,8749.837604
623.597532,300,8750.312482
600.881709,300,8751.084495
832.971784,300,8751.528895
672.197687,300,8752.185681
623.657132,300,8752.738418
600.87889,300,8753.171034
832.943742,300,8753.596054
672.198191,300,8754.037221
623.884499,300,8758.492353
600.895046,300,8759.014161
832.971784,300,8759.394213
672.240706,300,8759.793864
623.841204,300,8760.083328
600.84708,300,8760.384243
833.088442,300,8760.927192
672.233226,300,8761.542211
623.640266,300,8761.828794
600.879654,300,8762.142748
833.110231,300,8762.647385
672.197211,300,8763.559226
623.908711,300,8764.11432
600.850852,300,8764.417989
832.997187,300,8765.035113
672.236998,300,8765.616513
623.848491,300,8766.046347
600.89958,300,8766.64512
833.071507,300,8767.135574
672.240327,300,8767.768793
623.901762,300,8768.436034
600.820293,300,8769.042086
833.009281,300,8769.8008
672.239955,300,8770.090886
623.915254,300,8770.813316
600.899198,300,8771.315179
833.042451,300,8771.992348
672.1815,300,8772.551324
623.597814,300,8777.961905
600.818637,300,8775.692112
833.141811,300,8781.314413
672.236294,300,8781.611477
623.657345,300,8781.900602
600.853609,300,8782.251361
833.161672,300,8782.544003
672.240678,300,8782.869266
623.613519,300,8783.538053
600.721601,300,8784.076784
833.16089,300,8784.63199
