cycle_idx,sf_len_mean,sf_len_sd,sf_len_ci95,sf_len_n,power_normalized_mean,power_normalized_sd,power_normalized_ci95,power_normalized_n,delay_normalized_mean,delay_normalized_sd,delay_normalized_ci95,delay_normalized_n,pdr_mean,pdr_sd,pdr_ci95,pdr_n
786,68.0,0.0,0.0,8,0.11547549188906328,0.0007728929509761168,0.0006461480502320258,8,0.048492845930503195,0.004435582740102541,0.0037082019386261,8,0.9957619588207072,0.005356265548727303,0.004477904134672416,8
787,68.0,0.0,0.0,8,0.1149437414965986,0.0010241172357542264,0.0008561746542724691,8,0.04834570363855266,0.004107295293400578,0.0034337495796878713,8,0.9920391487090082,0.006863243975878758,0.005737756707031724,8
788,68.0,0.0,0.0,8,0.11468408424908422,0.001510488892180728,0.0012627873644688857,8,0.04814869645221153,0.003988939768270089,0.0033348028992961445,8,0.9901872968571563,0.010289459279536001,0.008602115005729246,8
789,68.0,0.0,0.0,8,0.11389801151229718,0.0029630096294094867,0.0024771126356421106,8,0.0479398354009237,0.004124126548917933,0.003447820717122572,8,0.9846660348544128,0.020484637092291036,0.017125409541098913,8
790,68.0,0.0,0.0,8,0.11364013343799054,0.0028457519952307113,0.002379083805642111,8,0.04791324444854847,0.004077452961972281,0.003408801022138706,8,0.9827455958969369,0.01961691107851474,0.01639997987942448,8
791,68.0,0.0,0.0,8,0.1136351857666143,0.0028345118819164405,0.0023696869321252405,8,0.04767174990014529,0.00378497537453672,0.003164286147705734,8,0.9828448867130222,0.019681152545571727,0.016453686539099007,8
792,68.0,0.0,0.0,8,0.11407045002616426,0.0022512666993570324,0.0018820867579458426,8,0.04786029487412919,0.0035339508894522763,0.0029544265786762016,8,0.9856226644907999,0.016093903309624548,0.013454701884657232,8
793,68.0,0.0,0.0,8,0.1140629644165358,0.0022421140521117103,0.0018744350318373854,8,0.047809031346914374,0.003356247804984372,0.002805864605890527,8,0.9856226644907999,0.016093903309624548,0.013454701884657232,8
794,68.0,0.0,0.0,8,0.11405885661957087,0.002237819586445269,0.0018708448055147688,8,0.04752259582761928,0.003594351536621552,0.003004922265500477,8,0.9856226644907999,0.016093903309624548,0.013454701884657232,8
795,68.0,0.0,0.0,8,0.11377076923076918,0.002342476506342871,0.0019583392827896874,8,0.047400260629252705,0.003383512692990125,0.002828658388913729,8,0.9837708126389481,0.016647056691316938,0.013917144941756396,8
796,68.0,0.0,0.0,8,0.11354055729984297,0.002180892794904905,0.0018232533048893379,8,0.047023240661253046,0.003127328873452295,0.002614485552576815,8,0.9810273284139823,0.014979718887774007,0.012523229950712953,8
797,68.0,0.0,0.0,8,0.11343215855572994,0.002190538563162896,0.001831317286253147,8,0.04709962843104741,0.0030978151991750804,0.002589811756464015,8,0.9791778416347382,0.014834603668778848,0.012401911835837803,8
798,68.0,0.0,0.0,8,0.1126991705913134,0.0026756999314191273,0.0022369181805953087,8,0.046856620201184834,0.003051470192370104,0.0025510667585348632,8,0.9736222860791826,0.01969080105281898,0.01646175281029166,8
